end_time,latency_ms,name,parent_span_id,span_id,start_time,status,trace_id,attributes.application_id,attributes.credpilot.span_kind,attributes.has_message,attributes.has_packet,attributes.recalled_memories,attributes.findings,attributes.scanned_message,attributes.scanned_packet_text,attributes.clarification_round,attributes.confidence,attributes.conversation_type,attributes.decided_by,attributes.domain,attributes.intent,attributes.route,attributes.mode,attributes.product_domain,attributes.resolved,attributes.allowed,attributes.catalogue_size,attributes.governing_policies,attributes.expansion_terms,attributes.hits,attributes.top_k,attributes.model,attributes.collection,attributes.dense_candidates,attributes.fused_candidates,attributes.lexical_candidates,attributes.rrf_k,attributes.candidates,attributes.kept,attributes.as_of_date,attributes.dropped,attributes.temporal_filtering,attributes.unresolved,attributes.citations,attributes.evidence_count,attributes.latency_ms,attributes.policy_ids,attributes.policy_versions,attributes.rule_ids,attributes.status,attributes.requires_human_review,attributes.identifiers,attributes.found,attributes.lookup,attributes.requested,attributes.breaches,attributes.indeterminate,attributes.rules_evaluated,attributes.flags,attributes.level,attributes.citation_count,attributes.outcome,attributes.available,attributes.citations_used,attributes.cost_usd,attributes.input_tokens,attributes.is_faithful,attributes.llm_call,attributes.output_tokens,attributes.reasoning_tokens,attributes.total_tokens,attributes.halted,attributes.reason_count,attributes.kind,attributes.validation_passed,attributes.notices,attributes.pii_findings,attributes.missing,attributes.round
2026-09-22T05:52:14.915781+00:00,4.001,citation.validate,1c2f4037ce3b622e,ae646c5af7458bce,2026-09-22T05:52:14.911781+00:00,UNSET,351825f82318db0203debb58d57e191e,,RETRIEVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22T05:52:14.918334+00:00,2.552,rag.result,1c2f4037ce3b622e,af31f4e2ad1091a1,2026-09-22T05:52:14.915781+00:00,UNSET,351825f82318db0203debb58d57e191e,,TOOL,,,,,,,,,,,,,,,MORTGAGE,,,,,,,,,,,,,,,,,,,,"POL-CONV-003 v1.0 rule CONV-COR-002,POL-FHA-001 v1.0 rule FHA-OVL-002,POL-DTI-001 v1.0 rule DTI-CONV-001,POL-CONV-001 v1.0 rule CONV-PUR-002,POL-JUMBO-001 v1.0 rule JMB-ELG-002,POL-CONV-002 v1.0 rule CONV-RTR-002",6.0,437.65,"POL-CONV-003,POL-FHA-001,POL-DTI-001,POL-CONV-001,POL-JUMBO-001,POL-CONV-002","1.0,1.0,1.0,1.0,1.0,1.0","CONV-COR-002,FHA-OVL-002,DTI-CONV-001,CONV-PUR-002,JMB-ELG-002,CONV-RTR-002",FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22T05:52:14.918334+00:00,438.5,rag.retrieve,,1c2f4037ce3b622e,2026-09-22T05:52:14.479833+00:00,UNSET,351825f82318db0203debb58d57e191e,APP-000055,TOOL,,,,,,,,,,,,,,,MORTGAGE,,,,,,,6.0,,,,,,,,,2026-06-25,,,,,6.0,,,,,FOUND,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22T05:52:14.985797+00:00,0.0,domain.resolve,,5d5ce047463c22a9,2026-09-22T05:52:14.985797+00:00,UNSET,784e35f0a7d893989f4b6b31f2383e51,APP-000055,ACTING,,,,,,,,,,,,,,,MORTGAGE,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22T05:52:14.989633+00:00,3.837,metadata.filter,d03ddd62e92aaee6,e93072733bbb73c4,2026-09-22T05:52:14.985797+00:00,UNSET,57f3ab98016ba9d314fe4c2b448768a0,,RETRIEVAL,,,,,,,,,,,,,,,MORTGAGE,,276.0,329.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22T05:52:14.989633+00:00,0.0,bm25.search,d03ddd62e92aaee6,59bd43894d4bbc4b,2026-09-22T05:52:14.989633+00:00,UNSET,57f3ab98016ba9d314fe4c2b448768a0,,RETRIEVAL,,,,,,,,,,,,,,,MORTGAGE,,,,,2.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22T05:52:15.011701+00:00,22.068,embedding.query,d03ddd62e92aaee6,97becab1b97e96ef,2026-09-22T05:52:14.989633+00:00,UNSET,57f3ab98016ba9d314fe4c2b448768a0,,RETRIEVAL,,,,,,,,,,,,,,,,,,,,,,,intfloat/e5-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22T05:52:15.021165+00:00,7.717,chroma.search,d03ddd62e92aaee6,9ab5cad802994eff,2026-09-22T05:52:15.013449+00:00,UNSET,57f3ab98016ba9d314fe4c2b448768a0,,RETRIEVAL,,,,,,,,,,,,,,,MORTGAGE,,,,,,15.0,15.0,,credpilot_mortgage_policies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22T05:52:15.021165+00:00,0.0,rrf.fusion,d03ddd62e92aaee6,9e0a7362e6723643,2026-09-22T05:52:15.021165+00:00,UNSET,57f3ab98016ba9d314fe4c2b448768a0,,RETRIEVAL,,,,,,,,,,,,,,,,,,,,,,,,,15.0,12.0,15.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22T05:52:15.485389+00:00,464.223,reranker.run,d03ddd62e92aaee6,e4875427cf87a787,2026-09-22T05:52:15.021165+00:00,UNSET,57f3ab98016ba9d314fe4c2b448768a0,,RETRIEVAL,,,,,,,,,,,,,,,MORTGAGE,,,,,,,,cross-encoder/ms-marco-MiniLM-L-6-v2,,,,,,12.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22T05:52:15.487398+00:00,2.01,temporal.validate,d03ddd62e92aaee6,3c313140edb44c1a,2026-09-22T05:52:15.485389+00:00,UNSET,57f3ab98016ba9d314fe4c2b448768a0,,RETRIEVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2026-06-25,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22T05:52:15.491415+00:00,4.016,citation.validate,d03ddd62e92aaee6,4ede3c6897e6acd9,2026-09-22T05:52:15.487398+00:00,UNSET,57f3ab98016ba9d314fe4c2b448768a0,,RETRIEVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22T05:52:15.491415+00:00,0.0,rag.result,d03ddd62e92aaee6,7225a96e7dfb48fb,2026-09-22T05:52:15.491415+00:00,UNSET,57f3ab98016ba9d314fe4c2b448768a0,,TOOL,,,,,,,,,,,,,,,MORTGAGE,,,,,,,,,,,,,,,,,,,,"POL-CRD-001 v1.0 rule CRD-SCR-003,POL-CRD-001 v1.0 rule CRD-SCR-002,POL-CRD-001 v1.0 section 5,POL-CONV-003 v1.0 rule CONV-COR-003,POL-JUMBO-001 v1.0 rule JMB-ELG-002,POL-CRD-001 v1.0",6.0,504.32,"POL-CRD-001,POL-CRD-001,POL-CRD-001,POL-CONV-003,POL-JUMBO-001,POL-CRD-001","1.0,1.0,1.0,1.0,1.0,1.0","CRD-SCR-003,CRD-SCR-002,,CONV-COR-003,JMB-ELG-002,",FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22T05:52:15.491415+00:00,505.618,rag.retrieve,,d03ddd62e92aaee6,2026-09-22T05:52:14.985797+00:00,UNSET,57f3ab98016ba9d314fe4c2b448768a0,APP-000055,TOOL,,,,,,,,,,,,,,,MORTGAGE,,,,,,,6.0,,,,,,,,,2026-06-25,,,,,6.0,,,,,FOUND,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22T05:52:15.546571+00:00,0.0,domain.resolve,,07b45386193d0fba,2026-09-22T05:52:15.546571+00:00,UNSET,6d48a28a80617ab0c5d2f7b464bea38a,APP-000055,ACTING,,,,,,,,,,,,,,,MORTGAGE,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22T05:52:15.548353+00:00,1.782,metadata.filter,7388d88b6573cfb9,5137c09909dfa10b,2026-09-22T05:52:15.546571+00:00,UNSET,b35bb77953c1061ed5cd231c2dc93bea,,RETRIEVAL,,,,,,,,,,,,,,,MORTGAGE,,276.0,329.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22T05:52:15.549358+00:00,1.005,bm25.search,7388d88b6573cfb9,a5d1cfe326286287,2026-09-22T05:52:15.548353+00:00,UNSET,b35bb77953c1061ed5cd231c2dc93bea,,RETRIEVAL,,,,,,,,,,,,,,,MORTGAGE,,,,,1.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
